,Pant Suits,
LOCATION,RELATIVE VOLUME,INTEREST
Alabama,11,65
Alaska,1,43
Arizona,13,51
Arkansas,5,57
California,100,60
Colorado,12,51
Connecticut,9,62
Delaware,2,68
District of Columbia,5,100
Florida,54,63
Georgia,32,72
Hawaii,2,49
Idaho,2,38
Illinois,32,62
Indiana,12,52
Iowa,4,44
Kansas,5,47
Kentucky,8,51
Louisiana,13,78
Maine,2,37
Maryland,18,72
Massachusetts,18,61
Michigan,21,56
Minnesota,10,49
Mississippi,7,77
Missouri,12,53
Montana,1,36
Nebraska,3,49
Nevada,8,68
New Hampshire,2,43
New Jersey,29,74
New Mexico,3,45
New York,66,75
North Carolina,25,60
North Dakota,1,46
Ohio,23,52
Oklahoma,7,52
Oregon,7,41
Pennsylvania,28,57
Rhode Island,3,60
South Carolina,11,63
South Dakota,1,45
Tennessee,16,59
Texas,76,67
Utah,6,48
Vermont,1,39
Virginia,23,66
Washington,14,46
West Virginia,2,41
Wisconsin,10,47
Wyoming,1,39
